ruleName,path,result.redirectURL,result.statusCode
docs_guides_recovering-from-a-wordpress-hack_2,/docs/security/recovering-from-a-system-compromise/,https://www.sitebay.org/docs/guides/recovering-from-a-wordpress-hack/,301
docs_products_platform_billing_0,/docs/products/tools/billing/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_1,/docs/platform/billing-and-support/how-sitebay-billing-works/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_2,/docs/platform/billing-and-support/upgrade-to-hourly-billing/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_3,/docs/guides/how-sitebay-billing-works/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_4,/docs/billing-and-payments/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_5,/docs/platform/billing-and-support/billing-and-payments-new-manager/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_6,/docs/platform/billing-and-payments/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_7,/docs/platform/billing-and-support/billing-and-payments/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_8,/docs/guides/billing-and-payments/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_9,/docs/guides/understanding-billing-and-payments/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_billing_10,/docs/guides/platform/billing-and-support/,https://www.sitebay.org/docs/products/platform/billing/,301
docs_products_platform_accounts_guides_cancel-account_0,/docs/guides/how-to-cancel-your-account/,https://www.sitebay.org/docs/products/platform/accounts/guides/cancel-account/,301
docs_products_platform_accounts_guides_cancel-account_1,/docs/quick-answers/platform/cancel-your-account-shortguide/,https://www.sitebay.org/docs/products/platform/accounts/guides/cancel-account/,301
docs_products_platform_accounts_guides_cancel-account_2,/docs/quick-answers/platform/how-to-cancel-your-account/,https://www.sitebay.org/docs/products/platform/accounts/guides/cancel-account/,301
docs_products_platform_get-started_guides_choose-a-data-center_0,/docs/platform/how-to-choose-a-data-center/,https://www.sitebay.org/docs/products/platform/get-started/guides/choose-a-data-center/,301
docs_products_platform_get-started_guides_choose-a-data-center_1,/docs/guides/how-to-choose-a-data-center/,https://www.sitebay.org/docs/products/platform/get-started/guides/choose-a-data-center/,301
docs_platform_get-started_how-to-start-a-web-design-agency_0,/docs/platform/how-to-start-a-web-design-agency,https://www.sitebay.org/docs/platform/get-started/how-to-start-a-web-design-agency/,301
docs_guides_introduction-to-sitebay-regions_0,/docs/quick-answers/sitebay-essentials/introduction-to-sitebay-regions/,https://www.sitebay.org/docs/guides/introduction-to-sitebay-regions/,301
docs_guides_security_monitoring_0,/docs/security/monitoring/,https://www.sitebay.org/docs/guides/security/monitoring/,301
docs_products_platform_get-started_guides_resell-services_0,/docs/platform/how-to-resell-sitebay-services/,https://www.sitebay.org/docs/products/platform/get-started/guides/resell-services/,301
docs_products_platform_get-started_guides_resell-services_1,/docs/guides/how-to-resell-sitebay-services/,https://www.sitebay.org/docs/products/platform/get-started/guides/resell-services/,301
